node,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,shortest_time_min,best_station_column,best_station_number
4992320349,18.906598208235895,12.444764565766267,10.838482408854155,11.131962357577445,16.679953454629,14.635033264223706,8.719170781745023,6.9883826851891,0.5522517550804003,16.266712103362472,15.375692767352026,5.220526354201284,0.5522517550804003,station_9,9.0
4992320351,19.012607246747585,12.55077360427796,10.944491447365847,11.237971396089138,16.785962493140694,14.7410423027354,8.825179820256716,6.918649576754584,0.6096708085367886,16.372721141874166,15.481701805863718,5.326535392712975,0.6096708085367886,station_9,9.0
4992320354,19.082112425570003,12.62027878310038,11.013996626188266,11.307476574911558,16.855467671963115,14.810547481557819,8.894684999079136,7.011804992299884,0.46244853586228324,16.442226320696584,15.551206984686138,5.396040571535393,0.46244853586228324,station_9,9.0
4992320355,19.11782884732802,12.655995204858398,11.049713047946286,11.343192996669577,16.891184093721133,14.846263903315839,8.930401420837153,7.047521414057902,0.49816495762030194,16.477942742454605,15.586923406444157,5.431756993293413,0.49816495762030194,station_9,9.0
4992321010,18.97343031480735,12.511596672337719,10.905314515425605,11.198794464148897,16.74678556120045,14.701865370795158,8.786002888316473,7.055214791760551,1.8378505455744927,16.333544209933923,15.442524873923476,5.287358460772735,1.8378505455744927,station_9,9.0
4992321011,18.969939839674414,12.508106197204787,10.901824040292674,11.195303989015965,16.743295086067523,14.698374895662226,8.782512413183543,7.0517243166276184,1.83436007044156,16.33005373480099,15.439034398790545,5.2838679856398025,1.83436007044156,station_9,9.0
4992321164,18.3139543827869,11.852120740317272,10.245838583405158,10.53931853212845,16.087309629180005,14.04238943877471,8.126526956296027,6.395738859740105,1.1783746135540447,15.674068277913477,14.78304894190303,4.627882528752289,1.1783746135540447,station_9,9.0
4992321166,18.31108039697604,11.849246754506412,10.242964597594298,10.53644454631759,16.084435643369144,14.039515452963851,8.123652970485166,6.392864873929244,1.147769566340256,15.671194292102617,14.78017495609217,4.625008542941428,1.147769566340256,station_9,9.0
4992321182,18.666927700579937,12.205094058110307,10.598811901198193,10.892291849921484,16.44028294697304,14.395362756567746,8.47950027408906,6.748712177533138,1.7375425667437847,16.02704159570651,15.136022259696064,4.980855846545322,1.7375425667437847,station_9,9.0
4992321189,18.855343344172432,12.393509701702804,10.78722754479069,11.080707493513982,16.628698590565538,14.583778400160243,8.66791591768156,6.937127821125637,1.9259582103362831,16.21545723929901,15.324437903288562,5.16927149013782,1.9259582103362831,station_9,9.0
4992385410,19.19799158701854,12.736157944548912,11.129875787636799,11.42335573636009,16.971346833411648,14.926426643006351,9.010564160527668,6.859566963741698,0.9189099588553777,16.558105482145116,15.66708614613467,5.511919732983928,0.9189099588553777,station_9,9.0
4992385411,19.250906821695573,12.789073179225944,11.182791022313832,11.476270971037122,17.024262068088678,14.979341877683385,9.0634793952047,6.91248219841873,0.9718251935324101,16.61102071682215,15.720001380811704,5.56483496766096,0.9718251935324101,station_9,9.0
4992385426,19.29803711766419,12.836203475194562,11.229921318282448,11.52340126700574,17.071392364057296,15.026472173652001,9.110609691173318,6.83575768433971,0.8951006794533903,16.658151012790768,15.76713167678032,5.6119652636295765,0.8951006794533903,station_9,9.0
4992616251,21.555130207255964,13.993070115532829,13.487014407874224,13.780494356597513,19.328485453649073,17.283565263243776,11.367702780765093,5.735092241179189,2.1660908508594376,18.915244102382545,18.024224766372097,7.869058353221354,2.1660908508594376,station_9,9.0
4992617027,20.197281787043202,13.735448144573578,12.129165987661464,12.422645936384756,17.97063703343631,15.925716843031017,10.009854360552334,6.159994172461283,1.326705800107782,17.557395682169783,16.666376346159335,6.511209933008593,1.326705800107782,station_9,9.0
4992617034,20.503571434047835,14.04173779157821,12.435455634666097,12.728935583389388,18.276926680440944,16.23200649003565,10.316144007556966,6.466283819465915,1.6329954471124146,17.863685329174416,16.972665993163968,6.817499580013226,1.6329954471124146,station_9,9.0
4992617148,20.082024603179953,13.620190960710323,12.013908803798211,12.3073887525215,17.855379849573062,15.810459659167764,9.894597176689079,6.040051581910079,1.6790881649691534,17.442138498306534,16.551119162296082,6.39595274914534,1.6790881649691534,station_9,9.0
4992617173,20.028361663434982,13.566528020965357,11.960245864053244,12.253725812776535,17.80171690982809,15.756796719422796,9.840934236944113,5.986388642165114,1.6254252252241874,17.388475558561563,16.497456222551115,6.342289809400374,1.6254252252241874,station_9,9.0
4992753283,20.740528956589234,14.278695314119606,12.672413157207494,12.965893105930784,18.513884202982343,16.468964012577047,10.553101530098361,5.4241317997691985,2.337592518378437,18.100642851715815,17.209623515705363,7.054457102554624,2.337592518378437,station_9,9.0
4992754128,20.963596830714913,14.189959739277189,13.033335035219723,13.326814983943015,18.874806080994574,16.829885890589274,10.914023408110593,5.1186726937660305,2.3629804746037975,18.461564729728046,17.570545393717598,7.415378980566854,2.3629804746037975,station_9,9.0
