node,shortest_time_min,best_station_column,best_station_number
2144812303,1.416100325832701,station_3,3.0
2144812315,1.500953811840905,station_3,3.0
2144812324,1.5731845121138155,station_3,3.0
2144812331,1.3830011646541895,station_3,3.0
2144812348,1.3752067947764945,station_3,3.0
2144812357,1.6207644011683462,station_3,3.0
2144812360,1.6778973211343478,station_3,3.0
2144812363,1.7071351977155151,station_3,3.0
2144812369,2.554817503572987,station_3,3.0
2144812380,2.0088849771464297,station_3,3.0
2144812387,2.3710814546045227,station_3,3.0
2144812392,2.69544355369051,station_3,3.0
2144812395,2.156766053168965,station_3,3.0
2144812405,2.241730696797577,station_3,3.0
2144812408,3.336446452279003,station_3,3.0
2144812411,2.1383273471652884,station_3,3.0
2144812417,2.4385345442976543,station_3,3.0
2144812425,2.6640341469209727,station_3,3.0
2144812428,2.5297172883393215,station_3,3.0
2144812442,2.8038558945903977,station_3,3.0
2144812445,3.0187475222773434,station_3,3.0
2144812446,2.9640836028307023,station_3,3.0
2144812448,2.9578186205785197,station_3,3.0
2144812455,2.9135819934136054,station_3,3.0
2144812456,4.24315984329315,station_3,3.0
2144812462,2.97029191476,station_3,3.0
2144812464,2.8382691598343937,station_3,3.0
2144812467,3.023766450572855,station_3,3.0
2144812468,2.933521478052854,station_3,3.0
2144812470,4.351092890991556,station_3,3.0
2144812476,3.0276522014398264,station_3,3.0
2144812491,3.0006200789251767,station_3,3.0
2144812493,2.9966296690117176,station_3,3.0
2144812496,2.898908086569555,station_3,3.0
2144812499,2.719909003629396,station_3,3.0
2144812500,4.094934860265879,station_3,3.0
2144812505,2.9350901398245473,station_3,3.0
2144812511,2.62887576024997,station_3,3.0
2144812532,3.999708805009563,station_3,3.0
2144812540,3.2045641618025624,station_3,3.0
2144812547,3.178915363413034,station_3,3.0
2144812550,3.1643756226581305,station_3,3.0
2144812555,3.9592869591565947,station_3,3.0
2144812563,3.9259044753326466,station_3,3.0
2144812569,3.855964441294778,station_3,3.0
2144812573,3.594989527762529,station_3,3.0
2144812584,3.838070768010105,station_3,3.0
2144812586,3.265784315576433,station_3,3.0
2144812604,3.239967546865131,station_3,3.0
2144812607,3.4769363748367854,station_3,3.0
2144812608,3.381196079293954,station_3,3.0
2144812609,3.7958232309356617,station_3,3.0
2144812610,3.412953395138842,station_3,3.0
2144812612,3.825726940514564,station_3,3.0
2144812625,3.646212830791653,station_3,3.0
2144812632,3.050606885361277,station_3,3.0
2144812636,3.635222251480126,station_3,3.0
2144812638,3.62438162393333,station_3,3.0
2144812656,3.674066900928979,station_3,3.0
2144812659,3.9179509417951244,station_3,3.0
2144812687,4.219644957915083,station_3,3.0
2145891346,3.9905676600776987,station_1,1.0
2167078617,2.016115388299183,station_9,9.0
2167078620,1.9710188987256039,station_9,9.0
2167078622,2.2312137553822806,station_9,9.0
2167078624,1.9346807747638217,station_9,9.0
2167078626,2.375824020117859,station_9,9.0
2167078627,2.157630269063046,station_9,9.0
2167078629,2.1243852450166063,station_9,9.0
2167078633,2.170782054347285,station_9,9.0
2167078634,2.0177629321369968,station_9,9.0
2167078635,1.7988599589962944,station_9,9.0
2167078639,1.2595525878759801,station_9,9.0
2167078642,3.214606072527029,station_9,9.0
2167078643,3.119171255234899,station_9,9.0
2167078647,2.012548467665582,station_9,9.0
2167078648,1.8809529073396467,station_9,9.0
2167078651,2.6714521448661115,station_9,9.0
2167078658,4.889927496608028,station_9,9.0
2167078660,2.1158162333867363,station_9,9.0
2167078661,4.657549213313465,station_9,9.0
2167078666,1.678284241170958,station_9,9.0
2167078667,1.7681794171520933,station_9,9.0
2167078669,3.213020934770524,station_9,9.0
2167078670,3.323742217913152,station_9,9.0
2167078671,1.7096107705569787,station_9,9.0
2167078674,2.264800210253894,station_9,9.0
2167078677,1.6461983477972597,station_9,9.0
2167078678,2.2693248975592213,station_9,9.0
2167078679,3.3494374245900804,station_9,9.0
2167078681,2.4533388017441093,station_9,9.0
2167078682,3.3446281141496628,station_9,9.0
2167078683,2.6390972572581224,station_9,9.0
2167078684,2.5730191681410437,station_9,9.0
2167078685,2.453298214618039,station_9,9.0
2167078686,2.680573226632178,station_9,9.0
2167078687,2.61511904669324,station_9,9.0
2167078689,2.496325874660031,station_9,9.0
2167078690,2.585852955167323,station_9,9.0
2167078693,3.6897782307172537,station_9,9.0
2167078694,3.7644417728706068,station_9,9.0
2175321515,3.7139443215685186,station_12,12.0
2175321516,2.9088166267607654,station_12,12.0
2175321523,3.3991938049290598,station_12,12.0
2175321529,3.3278851243830254,station_12,12.0
2175321533,2.3461285234362927,station_12,12.0
2175321535,2.7898658554354197,station_12,12.0
2175321537,3.715524807022359,station_12,12.0
2175321543,3.8079081204422907,station_12,12.0
2175321550,3.248363354368782,station_12,12.0
2175321558,1.3465904579155583,station_12,12.0
2175321561,1.802650000128235,station_12,12.0
2175321565,1.4594874873578545,station_12,12.0
2175321567,2.7258481489550843,station_12,12.0
2175321575,3.352475431450405,station_12,12.0
2175321579,1.501599381212792,station_12,12.0
2175321581,3.4691187789107265,station_12,12.0
2175321586,3.0103416472124436,station_12,12.0
2175321590,1.5935144134647339,station_12,12.0
2175321600,2.6714014887864965,station_12,12.0
2175321613,3.4855012605498987,station_12,12.0
2175321633,1.6124673170017598,station_12,12.0
2175321644,2.0561481052190085,station_12,12.0
2175321653,3.734592834043322,station_12,12.0
2175321656,3.648931818009629,station_12,12.0
2175321666,3.7542489992918058,station_12,12.0
2175321668,3.5973698990680196,station_12,12.0
2175321670,3.6994193553893555,station_12,12.0
2175321677,3.3170634554771947,station_12,12.0
2175321683,3.795278203891908,station_12,12.0
2175321696,1.560891704520267,station_12,12.0
2175321698,3.669796336332556,station_12,12.0
2175321704,3.457260276938442,station_12,12.0
2175321705,3.7224545463918632,station_12,12.0
2175321720,2.8378910958032977,station_12,12.0
